firstName,lastName,age,height,weight
Alicia,Keys,32,167.64 ,114.64
Al,Pacino,73,170.18 ,165.35
Angelina,Jolie,38,172.72 ,116.84
Anna,Kournikova,32,172.72 ,114.64
Ashley,Judd,45,170.18 ,119.05
Avril,Lavigne,28,157.48 ,108.03
Bar,Rafaeli,28,174.0,123.46
Ben,Stiller,47,168.91,165.35
Beyonce,Knowles,31,167.64 ,125.66
Blake,Lively,25,172.72 ,119.05
Brad,Pitt,49,180.34 ,194.01
Britney,Spears,31,162.56 ,103.62
Bruce,Willis,58,181.61,202.83
Cameron,Diaz,40,173.99,114.64
Carmen,Electra,41,160.02 ,108.03
Catherine,Zeta Jones,43,172.72 ,123.46
Christian,Bale,39,182.88 ,185.19
Christina,Aguilera,32,156.21,99.21
Cindy,Crawford,47,177.80 ,114.64
Courtney,Love,49,175.26 ,123.46
Daniel,Craig,45,179.07,178.57
Denise,Richards,42,167.64 ,114.64
